UID,Name,Formula,MW,RT,gammaB1,gammaB2,gammaB3,NumOfQCoutliers,qcRSDB1,qcRSDB2,qcRSDB3,qcRSD,qcRSDlower95CI,qcRSDupper95CI,sampleRSDB1,sampleRSDB2,sampleRSDB3,sampleRSD,sampleRSDlower95CI,sampleRSDupper95CI,refRSDB1,refRSDB2,refRSDB3,refRSD,refRSDlower95CI,refRSDupper95CI,dRatioB1,dRatioB2,dRatioB3,dRatio,blankRatioB1,blankRatioB2,blankRatioB3,blankRatio
C18P46,"ECU0093_L-Methionine",C5 H11 N O2 S,149.05099,1.302,6,13,11,1,1.77667013165153,4.60666364532397,6.96708408973215,4.73010728947333,3.73893220783271,6.44139162820682,26.3907527304414,28.2524184701415,24.6039566838023,26.4582531453928,24.0243505845088,29.4558857513096,NaN,NaN,NaN,NaN,NaN,NaN,6.7321692177509,16.3053780694651,28.3169255224662,17.8776250400226,0.179222190309531,0.161701711572524,0.145904397454985,0.179222190309531
C18P47,"ECU0077_L-Phenylalanine",C9 H11 N O2,165.07883,3.005,9,11,15,1,2.2348269952129,4.9475148682353,5.10710592115876,4.07195261711945,3.21886574570127,5.54444207648586,20.3017847948892,20.8822778563052,17.1785653640902,19.6040785608987,17.8238248868302,21.7869149408324,NaN,NaN,NaN,NaN,NaN,NaN,11.0080321399894,23.6924099098769,29.7295252130575,20.7709462317762,0.0413932296407019,0.0876011811800307,0.0536750430193472,0.0876011811800307
C18P48,"ECU0182_alpha-Linolenic acid",C18 H30 O2,278.22405,10.169,15,14,10,2,13.5934237771606,10.0614491606918,36.2170368578036,20.8665025995913,16.3659643828169,28.8676741718605,48.0204621952314,117.328539472187,122.68105239714,96.595321012961,85.2861386888149,111.761477885665,NaN,NaN,NaN,NaN,NaN,NaN,28.3075654746831,8.57544908165917,29.5212961986686,21.6019806971721,3.82087298968536,4.88688217685664,5.71113862442321,5.71113862442321
C18P49,"ECU0307_L-Acetylcarnitine",C9 H17 N O4,203.11561,0.89,11,5,13,0,8.37901366730928,4.27862281972972,4.58661497362735,5.86773038647714,4.65502847706951,7.94148246023583,108.38558347382,84.1454444726016,88.5156083707987,94.4149021107158,83.4536645010857,109.069862173913,NaN,NaN,NaN,NaN,NaN,NaN,7.73074554636982,5.08479436593014,5.18170191455237,6.21483500517359,0.235405433037581,0.189999462328741,0.197336641970146,0.235405433037581
C18P50,"ECU0131_L-Valine",C5 H11 N O2,117.07901,1.266,15,10,10,1,37.1363411812214,12.9841850057242,25.1149164124686,26.1491942997601,20.5451541800074,36.106023745237,49.3836211300793,41.3037533705307,42.7650925044369,46.5934086612162,42.0660568514521,52.2763695755583,NaN,NaN,NaN,NaN,NaN,NaN,75.1997126403553,31.435847704311,58.7276092290994,56.1220890488881,0.342785428761452,0.184639720593648,0.487378443672104,0.487378443672104
C18P51,"ECU0307_L-Acetylcarnitine",C9 H17 N O4,203.11559,1.297,8,11,15,3,9.59970386349884,11.0246281139398,91.8240018959456,47.3267153623155,36.382141487354,68.5418200339032,138.162459537813,93.7318056091986,147.741767717194,124.873706204104,108.62944166139,147.513030041204,NaN,NaN,NaN,NaN,NaN,NaN,6.94812751279342,11.7618859919389,62.1516875794488,37.8996642295224,0.145486197936907,0.149519673225688,0.034656897044038,0.149519673225688
C18P53,"L-Pyroglutamic acid",C5 H7 N O3,129.04252,0.883,4,9,8,1,6.12610641081984,16.4143060964766,14.6333472810845,12.7994234318904,10.1040405636433,17.4824509437732,62.9117456833827,44.8540974241547,21.5561331634242,47.3819569206046,42.7662314703311,53.1810037785439,NaN,NaN,NaN,NaN,NaN,NaN,9.73761949263151,36.5948866192929,67.8848435855553,27.0132857816273,2.77565459237214,3.73992468388817,4.62037291896696,4.62037291896696
C18P54,"Coumarin",C9 H6 O2,146.03661,1.667,6,15,7,1,5.39837706538963,6.67241558965654,18.9519485879191,11.349368950746,8.96225771759219,15.4903741124748,35.2674416843283,32.1041183033424,28.9470738331469,32.3106735565407,29.297815287012,36.0388136223438,NaN,NaN,NaN,NaN,NaN,NaN,15.306970983916,20.7836749373113,65.4710341264874,35.125757842484,0.906182431172253,0.94037789968618,0.539855293552362,0.94037789968618
C18P58,"ECU0182_alpha-Linolenic acid",C18 H30 O2,278.22402,11.258,11,0,15,0,7.29306450490618,1.00193054609373,21.7194203971299,12.2551568798261,9.71200393408617,16.6259826837568,51.5906556004566,86.4169899085459,82.8786322984499,73.3732201425523,65.5223945883293,83.5677433495393,NaN,NaN,NaN,NaN,NaN,NaN,14.136405944106,1.15941384576582,26.2062968400796,16.7024928932058,12.1625290772832,16.4776312589371,18.1927334509436,18.1927334509436
C18P59,"ECU0041_Pyroglutamic acid",C5 H7 N O3,129.04259,3.374,15,8,12,0,2.47754974211553,4.81781400491292,3.42020335414499,3.57392886687189,2.83586141322642,4.83484567548879,145.357607809299,90.4117089535291,131.592019646749,142.347241585156,122.681338402906,170.37697487592,NaN,NaN,NaN,NaN,NaN,NaN,1.70445137303439,5.32875007084451,2.59909633070936,2.51071171248083,1.30451849331299,1.22035517150065,1.26404116620874,1.30451849331299
C18P60,"ECU0420_Sphingosine 1-phosphate",C18 H38 N O5 P,379.24812,5.765,3,9,10,3,1.53482647456644,2.48367346324868,3.25704380916325,2.38693709283622,1.87187031836707,3.29537392830238,20.074302429371,22.2621060926411,23.5942377579492,22.4164187279533,20.3708060001546,24.9288539405655,NaN,NaN,NaN,NaN,NaN,NaN,7.64572756620827,11.1565071737291,13.8044036114958,10.6481642844212,4.97858156567807,2.6975338828303,3.93383499696415,4.97858156567807
C18P61,"ECU0015_Indoleacetic acid",C10 H9 N O2,175.06321,3.833,15,11,7,4,3.50241041940913,3.282171085919,0.970818290739634,2.81320888470481,2.19646373211417,3.91432578330315,55.8529152734474,29.9562954046787,68.7118224285326,55.1734705020442,49.655028113054,62.1709280075503,NaN,NaN,NaN,NaN,NaN,NaN,6.27077459119522,10.9565319796064,1.41288392073924,5.09884344614605,2.21054816775638,1.83111390875881,1.75166430429222,2.21054816775638
C18P62,"ECU0100_Theobromine",C7 H8 N4 O2,180.06447,3.007,9,15,13,2,97.4717993263164,112.237384740313,281.140812848534,144.668842608028,100.710766343165,270.847668506809,240.29388660228,672.261689124358,365.436171080876,481.825816558003,361.320521631993,702.530818195197,NaN,NaN,NaN,NaN,NaN,NaN,40.5635785015396,16.695490246738,76.9329461878347,30.0251330743321,14.9708104480067,21.6541543234225,2.34935834417285,21.6541543234225
